empleado_id,departamento,nivel_educacion,ciudad,zona_geografica,genero,estado_civil,tipo_vivienda,medio_transporte,hobby_principal,tipo_personalidad,modalidad_trabajo,edad,experiencia_anos,num_hijos,salario_anual,horas_semanales,horas_ejercicio_semana,horas_videojuegos_semana,horas_ocio_semana,horas_sueno_noche,nivel_estres,satisfaccion_laboral,productividad_score,dias_vacaciones,capacitaciones_ano
EMP_00019,Legal,Licenciatura,Tijuana,Norte,Masculino,Unión libre,Rentada,Auto propio,Viajes,Extrovertido,Presencial,33,7,2,97034,43,6,2,8,8,3.4,9.3,87,22,2
EMP_00020,Ventas,Maestría,Puebla,Centro,Masculino,Divorciado,Rentada,Auto propio,Lectura,Ambivertido,Presencial,30,8,1,95914,37,10,2,22,7.5,5.2,10,100,24,4
EMP_00021,Marketing,Licenciatura,Ciudad de México,Centro,Masculino,Casado,Propia,Auto propio,Arte,Introvertido,Presencial,26,0,0,74574,35,3,7,31,7.3,5.1,9.9,93,25,4
EMP_00022,Marketing,Licenciatura,Puebla,Centro,Femenino,Soltero,Rentada,Auto propio,Cocina,Extrovertido,Híbrido,33,8,0,77909,37,6,4,43,8.1,2.6,10,96,22,3
EMP_00023,Ventas,Maestría,Ciudad de México,Centro,Masculino,Soltero,Familiar,Uber/Taxi,Videojuegos,Ambivertido,Presencial,30,1,0,71194,40,2,19,37,8.5,4.1,9.9,100,25,5
EMP_00024,Ventas,Licenciatura,Ciudad de México,Centro,Femenino,Divorciado,Propia,Auto propio,Cocina,Extrovertido,Presencial,27,4,2,56976,38,2,5,30,7.3,5.6,7.5,88,22,4
EMP_00025,Tecnología,Licenciatura,Monterrey,Norte,Masculino,Unión libre,Propia,Uber/Taxi,Tecnología,Introvertido,Híbrido,31,6,0,103545,42,9,16,25,8.4,4.8,10,100,22,6
EMP_00026,Tecnología,Doctorado,Guadalajara,Occidente,Masculino,Unión libre,Propia,Auto propio,Cocina,Extrovertido,Híbrido,40,11,1,166228,39,3,7,11,7.4,4.2,10,100,26,6
EMP_00027,Finanzas,Doctorado,Puebla,Centro,Femenino,Soltero,Rentada,Transporte público,Tecnología,Extrovertido,Presencial,36,10,1,165337,47,4,8,31,6.6,6.6,10,100,23,6
EMP_00028,Ventas,Bachillerato,Ciudad de México,Centro,Masculino,Soltero,Rentada,Motocicleta,Lectura,Ambivertido,Presencial,39,10,0,76911,36,3,10,41,7.9,3.2,8.3,94,25,4
EMP_00029,RRHH,Maestría,Ciudad de México,Centro,Femenino,Unión libre,Hipotecada,Auto propio,Música,Extrovertido,Presencial,35,12,2,71221,37,25,1,7,7.4,4.7,8.1,100,21,3
EMP_00030,Finanzas,Doctorado,Mérida,Sureste,Masculino,Divorciado,Hipotecada,Auto propio,Deportes,Ambivertido,Presencial,44,15,2,107251,40,25,3,24,9.4,3.4,10,100,22,6
EMP_00031,Finanzas,Licenciatura,Guadalajara,Occidente,Masculino,Soltero,Rentada,Auto propio,Tecnología,Extrovertido,Híbrido,26,3,0,66337,42,7,24,28,8.1,3.7,8.7,96,19,3
EMP_00032,Ventas,Doctorado,Puebla,Centro,Masculino,Casado,Propia,Auto propio,Música,Ambivertido,Híbrido,35,7,0,101863,40,4,2,25,7.9,4.7,10,96,26,5
EMP_00033,Marketing,Licenciatura,Ciudad de México,Centro,Femenino,Soltero,Rentada,Motocicleta,Tecnología,Extrovertido,Remoto,39,10,0,82633,41,11,5,26,8.8,4.4,9,100,25,6
EMP_00034,Marketing,Maestría,Ciudad de México,Centro,Masculino,Soltero,Rentada,Uber/Taxi,Videojuegos,Ambivertido,Híbrido,26,0,0,103295,36,2,14,31,8.4,4.2,10,100,23,6
EMP_00035,Finanzas,Maestría,León,Centro,Masculino,Divorciado,Rentada,Auto propio,Deportes,Introvertido,Presencial,30,8,1,96232,45,12,5,24,7.5,4.6,8.6,100,25,6
EMP_00036,RRHH,Licenciatura,Guadalajara,Occidente,Masculino,Casado,Hipotecada,Transporte público,Cocina,Ambivertido,Presencial,31,5,0,61128,35,3,5,31,8.3,5,8.3,100,20,2
EMP_00037,RRHH,Licenciatura,Tijuana,Norte,Femenino,Soltero,Rentada,Auto propio,Música,Extrovertido,Presencial,36,10,0,58016,36,6,5,40,7.2,3.5,8.6,100,20,4
EMP_00038,Tecnología,Maestría,León,Centro,Femenino,Casado,Rentada,Transporte público,Tecnología,Introvertido,Presencial,24,0,0,109096,37,4,5,32,7.8,4.7,10,100,23,8
EMP_00039,Tecnología,Maestría,Guadalajara,Occidente,Masculino,Casado,Hipotecada,Transporte público,Lectura,Introvertido,Presencial,31,8,0,129133,41,6,9,24,7.6,4.7,10,100,25,8
EMP_00040,Finanzas,Maestría,Ciudad de México,Centro,Masculino,Casado,Hipotecada,Transporte público,Arte,Ambivertido,Remoto,32,7,0,154018,39,4,11,27,7.4,4.4,10,100,25,7
EMP_00041,Ventas,Licenciatura,Mérida,Sureste,Femenino,Soltero,Familiar,Transporte público,Lectura,Extrovertido,Híbrido,29,5,0,44551,38,9,6,28,7.7,4.4,8.5,92,18,4
EMP_00042,Diseño,Bachillerato,Querétaro,Centro,Masculino,Unión libre,Rentada,Auto propio,Viajes,Ambivertido,Híbrido,31,8,1,84736,41,10,7,17,7.1,4.6,10,100,26,6
EMP_00043,Ventas,Licenciatura,Ciudad de México,Centro,Masculino,Casado,Rentada,Auto propio,Tecnología,Ambivertido,Presencial,33,10,0,98205,39,6,11,19,8.3,3.4,9,100,24,4
EMP_00044,Marketing,Licenciatura,Ciudad de México,Centro,Femenino,Casado,Hipotecada,Transporte público,Viajes,Introvertido,Híbrido,29,3,0,70586,40,7,7,20,7.7,3.6,8,100,22,4
EMP_00045,Legal,Maestría,Monterrey,Norte,Masculino,Casado,Rentada,Transporte público,Deportes,Introvertido,Híbrido,33,5,0,102075,42,25,24,26,7.7,3.3,10,100,24,4
EMP_00046,RRHH,Licenciatura,Mérida,Sureste,Femenino,Soltero,Hipotecada,Transporte público,Videojuegos,Ambivertido,Híbrido,30,2,0,30701,35,3,25,45,6,6.2,8.2,82,16,2
EMP_00047,Legal,Maestría,Mérida,Sureste,Masculino,Soltero,Hipotecada,Auto propio,Viajes,Ambivertido,Híbrido,32,9,0,78716,48,3,3,27,8.6,5.7,8.5,100,25,5
EMP_00048,RRHH,Maestría,Ciudad de México,Centro,Femenino,Casado,Rentada,Auto propio,Deportes,Extrovertido,Presencial,36,10,2,84030,35,6,3,10,6.7,4.1,10,95,24,4
EMP_00049,Ventas,Licenciatura,Ciudad de México,Centro,Masculino,Unión libre,Hipotecada,Uber/Taxi,Arte,Extrovertido,Presencial,28,3,0,64375,43,13,2,24,8.2,7.3,6.8,80,20,3
EMP_00050,RRHH,Licenciatura,Monterrey,Norte,Femenino,Unión libre,Hipotecada,Transporte público,Videojuegos,Extrovertido,Presencial,28,6,1,63048,35,14,18,11,6.9,3.2,8.5,100,20,2
EMP_00051,RRHH,Maestría,Tijuana,Norte,Femenino,Unión libre,Hipotecada,Uber/Taxi,Tecnología,Introvertido,Presencial,35,6,1,79002,39,11,3,8,6.3,4.3,9.7,100,23,3
EMP_00052,Legal,Maestría,Ciudad de México,Centro,Masculino,Casado,Familiar,Auto propio,Videojuegos,Introvertido,Remoto,31,8,1,128081,43,2,25,21,6,4.6,10,100,22,6
EMP_00053,Diseño,Licenciatura,Guadalajara,Occidente,Masculino,Soltero,Propia,Caminando,Arte,Extrovertido,Remoto,30,6,0,75258,35,4,5,42,6.9,3.1,10,100,26,6
EMP_00054,Tecnología,Doctorado,Ciudad de México,Centro,Masculino,Unión libre,Rentada,Auto propio,Música,Ambivertido,Híbrido,32,10,1,203340,45,11,2,13,8.1,4.7,10,100,22,6
EMP_00055,Tecnología,Maestría,Ciudad de México,Centro,Masculino,Casado,Rentada,Caminando,Deportes,Ambivertido,Híbrido,38,14,2,147583,43,9,1,13,7,5.5,10,100,24,7
EMP_00056,Finanzas,Maestría,Mérida,Sureste,Masculino,Casado,Familiar,Motocicleta,Tecnología,Ambivertido,Híbrido,24,0,0,32943,43,5,40,32,7.7,6.9,6.8,99,14,5
EMP_00057,Tecnología,Licenciatura,Ciudad de México,Centro,Femenino,Casado,Hipotecada,Auto propio,Arte,Introvertido,Remoto,31,5,0,98273,42,2,12,26,7.6,6.5,10,100,26,6
EMP_00058,Operaciones,Licenciatura,Ciudad de México,Centro,Femenino,Soltero,Hipotecada,Auto propio,Videojuegos,Ambivertido,Híbrido,27,3,0,18000,41,1,50,34,6.7,6,7.3,68,17,3
EMP_00059,Tecnología,Licenciatura,Monterrey,Norte,Femenino,Soltero,Hipotecada,Caminando,Videojuegos,Ambivertido,Híbrido,31,3,0,68197,35,9,31,34,5.6,4.2,10,100,24,6
EMP_00060,Finanzas,Licenciatura,Ciudad de México,Centro,Masculino,Soltero,Familiar,Auto propio,Videojuegos,Extrovertido,Presencial,35,13,0,89527,45,6,5,33,8.6,5.6,8.9,100,25,4
EMP_00061,Tecnología,Licenciatura,Mérida,Sureste,Masculino,Unión libre,Rentada,Transporte público,Videojuegos,Extrovertido,Híbrido,35,12,1,92676,44,6,3,12,8.9,4.6,9.5,78,22,6
EMP_00062,Operaciones,Bachillerato,Puebla,Centro,Femenino,Soltero,Familiar,Auto propio,Videojuegos,Introvertido,Remoto,25,0,0,37517,39,3,27,35,8,4.8,8.2,80,20,4
EMP_00063,Tecnología,Licenciatura,Monterrey,Norte,Masculino,Soltero,Propia,Auto propio,Viajes,Extrovertido,Híbrido,30,7,0,93222,41,8,4,36,7.8,3,10,90,24,5
EMP_00064,RRHH,Doctorado,Monterrey,Norte,Masculino,Soltero,Rentada,Auto propio,Tecnología,Ambivertido,Presencial,31,5,0,98695,39,8,23,35,8.1,3.9,8.7,98,22,3
EMP_00065,Finanzas,Licenciatura,Guadalajara,Occidente,Femenino,Soltero,Rentada,Auto propio,Viajes,Extrovertido,Presencial,31,5,0,51087,52,14,2,25,6.8,8.9,6.1,94,22,4
EMP_00066,Tecnología,Maestría,Guadalajara,Occidente,Femenino,Soltero,Propia,Auto propio,Deportes,Ambivertido,Remoto,36,8,0,110893,42,7,7,31,7.6,3.8,10,100,24,7
EMP_00067,Operaciones,Bachillerato,León,Centro,Femenino,Soltero,Hipotecada,Motocicleta,Videojuegos,Extrovertido,Presencial,30,8,0,55606,49,11,9,35,7.3,6.2,8,100,19,1
EMP_00068,Marketing,Maestría,Monterrey,Norte,Masculino,Casado,Rentada,Transporte público,Tecnología,Extrovertido,Remoto,38,9,0,170382,40,3,16,30,8.2,6.4,10,96,26,6
EMP_00069,Tecnología,Maestría,Monterrey,Norte,Femenino,Casado,Propia,Auto propio,Viajes,Ambivertido,Híbrido,31,7,0,113470,39,7,5,25,9.1,4.2,10,100,23,6
EMP_00070,Tecnología,Licenciatura,León,Centro,Masculino,Soltero,Familiar,Uber/Taxi,Cocina,Ambivertido,Remoto,31,5,0,88866,39,11,2,32,8.1,3.9,10,97,25,8
EMP_00071,Tecnología,Licenciatura,Querétaro,Centro,Femenino,Casado,Hipotecada,Auto propio,Cocina,Introvertido,Híbrido,36,8,1,116080,38,4,12,13,8.1,5.7,10,97,24,7
EMP_00072,Legal,Licenciatura,Mérida,Sureste,No binario,Casado,Propia,Auto propio,Música,Introvertido,Remoto,33,8,1,57481,48,3,3,19,6.8,7.3,7.2,88,21,5
EMP_00073,Tecnología,Maestría,Ciudad de México,Centro,Femenino,Casado,Rentada,Caminando,Arte,Extrovertido,Remoto,41,16,1,138197,35,6,4,10,8.8,3.1,10,98,22,8
EMP_00074,Tecnología,Maestría,Tijuana,Norte,Femenino,Divorciado,Propia,Uber/Taxi,Videojuegos,Extrovertido,Híbrido,36,7,2,166922,40,3,8,29,6,5.4,10,100,26,8
EMP_00075,Marketing,Doctorado,Mérida,Sureste,Femenino,Soltero,Propia,Transporte público,Viajes,Extrovertido,Híbrido,40,13,0,97531,35,5,0,33,7.7,5.8,10,92,25,5
EMP_00076,Operaciones,Licenciatura,Ciudad de México,Centro,Masculino,Casado,Propia,Uber/Taxi,Tecnología,Ambivertido,Presencial,29,5,1,69856,44,14,5,19,8.6,3.1,8.4,94,22,2
EMP_00077,Ventas,Bachillerato,León,Centro,Femenino,Unión libre,Rentada,Auto propio,Lectura,Introvertido,Presencial,28,1,0,39699,38,2,3,28,7.7,5.5,7.3,67,19,2
EMP_00078,Diseño,Licenciatura,Guadalajara,Occidente,Masculino,Unión libre,Propia,Uber/Taxi,Tecnología,Introvertido,Presencial,34,9,0,92777,45,7,10,15,7,6.5,9.9,100,22,4
EMP_00079,RRHH,Maestría,Guadalajara,Occidente,Femenino,Unión libre,Hipotecada,Transporte público,Música,Introvertido,Híbrido,30,8,0,70999,35,1,2,28,6.4,3.9,10,100,23,3
EMP_00080,Finanzas,Licenciatura,Monterrey,Norte,Masculino,Soltero,Rentada,Auto propio,Videojuegos,Introvertido,Híbrido,28,0,0,75317,40,3,20,35,7.5,6.3,8.4,100,22,4
EMP_00081,Marketing,Licenciatura,Ciudad de México,Centro,Femenino,Casado,Propia,Auto propio,Música,Ambivertido,Presencial,31,4,0,59844,46,8,0,20,7,6.4,8.5,88,22,4
EMP_00082,Legal,Licenciatura,Guadalajara,Occidente,Masculino,Soltero,Hipotecada,Caminando,Lectura,Introvertido,Presencial,23,0,0,73496,50,0,4,32,6.9,6.1,9.7,81,25,4
EMP_00083,Tecnología,Maestría,Puebla,Centro,Masculino,Casado,Rentada,Transporte público,Lectura,Extrovertido,Híbrido,32,9,0,137640,37,9,9,26,7.1,5,10,100,22,7
EMP_00084,Marketing,Doctorado,Monterrey,Norte,Femenino,Soltero,Rentada,Transporte público,Música,Extrovertido,Remoto,45,21,0,181936,35,7,3,38,9.2,4,10,100,24,5
EMP_00085,Ventas,Bachillerato,Monterrey,Norte,Femenino,Soltero,Hipotecada,Auto propio,Tecnología,Extrovertido,Presencial,26,4,0,61152,38,16,7,30,7.4,4.8,8,100,21,2
EMP_00086,Ventas,Licenciatura,Tijuana,Norte,Femenino,Casado,Rentada,Auto propio,Cocina,Extrovertido,Híbrido,31,3,0,61273,38,5,1,30,7.3,6.1,8.9,90,21,3
EMP_00087,Diseño,Licenciatura,Querétaro,Centro,Masculino,Soltero,Hipotecada,Transporte público,Música,Extrovertido,Remoto,30,6,0,85297,36,15,2,46,7.4,3.4,10,100,22,7
EMP_00088,RRHH,Licenciatura,Guadalajara,Occidente,Masculino,Casado,Propia,Auto propio,Música,Ambivertido,Híbrido,26,4,0,45285,35,3,3,32,7.3,4.5,7.4,87,17,4
EMP_00089,Operaciones,Licenciatura,Ciudad de México,Centro,Masculino,Unión libre,Rentada,Transporte público,Música,Extrovertido,Híbrido,28,0,0,52569,48,4,1,25,6.1,8,6.6,92,20,1
EMP_00090,Finanzas,Licenciatura,Monterrey,Norte,Masculino,Unión libre,Hipotecada,Uber/Taxi,Viajes,Ambivertido,Híbrido,31,6,0,75640,47,6,5,18,8.2,8.7,8.3,91,21,5
EMP_00091,Diseño,Maestría,Ciudad de México,Centro,Masculino,Casado,Familiar,Bicicleta,Videojuegos,Introvertido,Remoto,33,4,1,145142,35,8,15,9,8.1,5,10,100,25,8
EMP_00092,Diseño,Maestría,Ciudad de México,Centro,Masculino,Viudo,Familiar,Auto propio,Videojuegos,Introvertido,Presencial,36,7,0,28795,35,3,50,32,7.6,5.1,9.2,93,16,6
EMP_00093,Operaciones,Licenciatura,Tijuana,Norte,Masculino,Casado,Rentada,Transporte público,Música,Ambivertido,Presencial,31,5,1,59054,44,2,18,12,6.3,6,6.7,78,18,2
EMP_00094,Operaciones,Bachillerato,Ciudad de México,Centro,Masculino,Divorciado,Familiar,Auto propio,Arte,Introvertido,Presencial,25,0,2,41314,40,1,4,32,8.2,5.3,7,91,21,1
EMP_00095,Legal,Doctorado,Ciudad de México,Centro,Femenino,Casado,Familiar,Uber/Taxi,Deportes,Introvertido,Remoto,38,9,1,161753,48,21,3,16,7.2,7.7,10,100,23,6
EMP_00096,Ventas,Licenciatura,Puebla,Centro,Femenino,Casado,Propia,Auto propio,Música,Introvertido,Presencial,33,7,0,66479,38,3,7,30,7.4,5.2,9.1,100,22,2
EMP_00097,Legal,Maestría,Monterrey,Norte,Masculino,Soltero,Rentada,Auto propio,Tecnología,Extrovertido,Presencial,34,5,0,115080,47,7,10,32,6.4,3.9,10,100,22,5
EMP_00098,Operaciones,Licenciatura,Tijuana,Norte,Masculino,Soltero,Hipotecada,Uber/Taxi,Tecnología,Extrovertido,Presencial,26,0,0,56604,45,12,19,28,8.2,3.7,7.6,94,21,3
EMP_00099,Tecnología,Licenciatura,Querétaro,Centro,Masculino,Casado,Rentada,Auto propio,Videojuegos,Introvertido,Remoto,35,6,2,128092,42,3,6,19,6.7,6,10,100,25,6
EMP_00100,Diseño,Doctorado,León,Centro,Masculino,Soltero,Rentada,Auto propio,Viajes,Extrovertido,Presencial,35,8,0,118003,40,1,4,31,7.9,5,10,98,25,7
EMP_00101,Tecnología,Maestría,Monterrey,Norte,Masculino,Casado,Rentada,Transporte público,Arte,Extrovertido,Remoto,28,5,0,114409,40,5,5,24,8.9,3.6,10,100,23,9
EMP_00102,Ventas,Licenciatura,Ciudad de México,Centro,Femenino,Divorciado,Familiar,Uber/Taxi,Arte,Ambivertido,Presencial,29,3,2,48260,39,7,1,22,8.3,5,7.6,74,21,2
EMP_00103,Marketing,Licenciatura,Ciudad de México,Centro,Masculino,Casado,Hipotecada,Uber/Taxi,Tecnología,Extrovertido,Híbrido,25,0,0,85056,40,6,8,11,8,3.5,9.4,100,23,4
EMP_00104,Legal,Doctorado,Ciudad de México,Centro,Femenino,Soltero,Hipotecada,Auto propio,Deportes,Extrovertido,Presencial,27,5,0,118821,50,19,4,14,7.3,5.4,9.9,100,25,5
EMP_00105,Ventas,Licenciatura,Tijuana,Norte,Masculino,Soltero,Propia,Transporte público,Deportes,Extrovertido,Remoto,32,10,0,91106,38,25,3,22,7.7,4.6,9.9,100,22,3
EMP_00106,Operaciones,Bachillerato,Ciudad de México,Centro,Masculino,Casado,Rentada,Transporte público,Deportes,Introvertido,Presencial,25,3,0,51242,39,20,1,24,9.1,6.8,6,90,21,3
EMP_00107,Tecnología,Doctorado,Ciudad de México,Centro,Femenino,Casado,Propia,Motocicleta,Cocina,Ambivertido,Remoto,38,11,0,168610,41,1,1,35,6.4,3.8,10,98,22,7
EMP_00108,Marketing,Maestría,León,Centro,Femenino,Casado,Propia,Uber/Taxi,Videojuegos,Introvertido,Remoto,37,10,0,83003,40,4,18,25,7,6.2,10,100,24,7
EMP_00109,Operaciones,Bachillerato,Guadalajara,Occidente,Femenino,Casado,Hipotecada,Auto propio,Cocina,Ambivertido,Presencial,23,1,0,33588,48,1,3,17,5.4,9.5,6.3,84,16,1
EMP_00110,Legal,Licenciatura,Ciudad de México,Centro,Femenino,Casado,Familiar,Transporte público,Tecnología,Ambivertido,Híbrido,23,0,1,67535,47,8,5,8,7,6.6,8,100,19,4
EMP_00111,Tecnología,Bachillerato,Ciudad de México,Centro,Masculino,Soltero,Hipotecada,Uber/Taxi,Viajes,Extrovertido,Remoto,30,5,0,87613,37,8,5,31,8.3,3.1,10,97,25,6
EMP_00112,Marketing,Licenciatura,Ciudad de México,Centro,Femenino,Soltero,Hipotecada,Transporte público,Lectura,Ambivertido,Remoto,32,5,1,66317,39,24,7,22,7.7,4.6,8.5,100,21,6
EMP_00113,Ventas,Bachillerato,Tijuana,Norte,Masculino,Soltero,Familiar,Uber/Taxi,Deportes,Introvertido,Híbrido,28,3,0,55621,40,12,12,37,9,3.5,9.3,100,22,4
EMP_00114,Operaciones,Licenciatura,Tijuana,Norte,Femenino,Unión libre,Rentada,Bicicleta,Deportes,Introvertido,Presencial,31,9,1,58270,44,16,13,10,8.5,4.9,7.5,100,23,3
EMP_00115,Marketing,Licenciatura,Querétaro,Centro,Femenino,Divorciado,Propia,Auto propio,Deportes,Ambivertido,Remoto,34,5,1,56533,39,19,3,24,7,3.5,10,100,23,6
EMP_00116,Tecnología,Doctorado,Monterrey,Norte,No binario,Viudo,Rentada,Auto propio,Viajes,Introvertido,Híbrido,35,9,0,160414,39,3,1,23,8.8,5,10,100,24,6
EMP_00117,Tecnología,Licenciatura,León,Centro,Masculino,Viudo,Hipotecada,Transporte público,Viajes,Ambivertido,Remoto,32,8,0,111153,38,0,20,19,7.5,6.2,10,100,24,7
EMP_00118,Diseño,Maestría,Puebla,Centro,Masculino,Soltero,Rentada,Auto propio,Cocina,Introvertido,Remoto,35,9,0,144995,35,6,11,36,7.4,4.1,10,98,23,7
EMP_00119,Ventas,Bachillerato,Mérida,Sureste,Femenino,Viudo,Rentada,Uber/Taxi,Tecnología,Introvertido,Presencial,25,0,0,34270,39,2,18,19,7.6,4.8,7.4,94,17,3
EMP_00120,RRHH,Licenciatura,Ciudad de México,Centro,Masculino,Unión libre,Rentada,Motocicleta,Viajes,Extrovertido,Remoto,31,8,0,65541,36,2,3,29,9,5.7,10,85,21,3
EMP_00121,Ventas,Maestría,Ciudad de México,Centro,Femenino,Divorciado,Rentada,Auto propio,Deportes,Introvertido,Híbrido,26,3,2,80253,40,20,4,15,7.2,3.5,9.7,100,22,3
EMP_00122,RRHH,Licenciatura,León,Centro,No binario,Casado,Rentada,Transporte público,Deportes,Introvertido,Presencial,29,5,1,58611,37,8,11,10,8.4,4.9,8.1,86,21,4
EMP_00123,Diseño,Maestría,Tijuana,Norte,Femenino,Casado,Familiar,Motocicleta,Cocina,Introvertido,Híbrido,36,9,0,92213,36,3,4,30,8.4,4.7,10,100,24,5
EMP_00124,Ventas,Licenciatura,Tijuana,Norte,Femenino,Casado,Hipotecada,Transporte público,Cocina,Ambivertido,Presencial,40,12,2,68476,43,2,1,16,6.8,6.8,7.8,100,21,2
EMP_00125,Diseño,Maestría,Puebla,Centro,Femenino,Casado,Rentada,Auto propio,Videojuegos,Ambivertido,Híbrido,30,4,0,83142,39,8,29,25,8.2,3.7,10,99,26,5
EMP_00126,Tecnología,Licenciatura,Monterrey,Norte,Femenino,Casado,Familiar,Auto propio,Deportes,Extrovertido,Remoto,31,7,1,115860,38,18,2,5,7.6,4.5,10,99,25,6
EMP_00127,Legal,Licenciatura,Ciudad de México,Centro,Masculino,Unión libre,Rentada,Bicicleta,Tecnología,Extrovertido,Presencial,32,6,1,86705,50,3,4,15,6.2,7.6,7.7,84,24,4
EMP_00128,Operaciones,Licenciatura,Guadalajara,Occidente,Masculino,Casado,Propia,Auto propio,Videojuegos,Ambivertido,Presencial,33,6,0,60289,43,3,13,27,8.7,5.6,7.1,87,20,2
EMP_00129,Ventas,Licenciatura,Ciudad de México,Centro,Masculino,Casado,Rentada,Transporte público,Cocina,Extrovertido,Presencial,29,0,0,71722,42,6,7,15,8.3,4.9,9,98,24,4
EMP_00130,Marketing,Bachillerato,Guadalajara,Occidente,Femenino,Casado,Rentada,Uber/Taxi,Cocina,Extrovertido,Remoto,24,1,0,45420,35,4,5,28,7.9,4.3,9.6,95,20,6
EMP_00131,Finanzas,Licenciatura,Tijuana,Norte,Masculino,Divorciado,Hipotecada,Bicicleta,Lectura,Ambivertido,Remoto,30,7,1,98356,43,3,3,19,7.3,5.1,10,99,22,5
EMP_00132,Tecnología,Maestría,Guadalajara,Occidente,Masculino,Casado,Familiar,Transporte público,Viajes,Extrovertido,Remoto,29,3,1,105232,41,0,12,5,8,5.1,10,100,26,8
EMP_00133,Tecnología,Maestría,Tijuana,Norte,Masculino,Casado,Familiar,Transporte público,Arte,Ambivertido,Remoto,32,6,1,122648,42,5,4,8,8.4,7.2,10,97,26,7
